;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;22.89007110564884;23.545267849156083;23.69813567686753;11.676891624888178
median;22.69747509118693;22.890890593931122;23.65197071385267;12.087074454598532
quan75;29.397540331010212;29.92678650225492;29.87447994972201;14.860436437174663
quan95;32.36524710726173;33.19065778612672;32.72727001420454;23.53402903686721
std;6.471020318222796;6.736730846440213;6.5179563954660695;6.954993351282876
no_stationary;6.757333354863967e-07✅;0.07120297887820518❌;1.0634397053293984e-06✅;7.107456119680819e-05✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.2706214846768387✅;0.1456214288976938✅;0.3141398189007055✅;0.6416127273942952✅
is_mean_zero;3.87629584115073e-18❌;5.3600598967529425e-18❌;1.8446034949257982e-18❌;6.248956450793827e-06❌
is_normality;0.40983901098681164✅;0.34537790188277606✅;0.14024668486767716✅;0.5847618144290166✅
