;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;21.34801244769339;27.193014748198866;21.71009700041179;22.65102961329886
median;21.478027193583074;26.935292988480896;22.145731380689273;21.623790019698756
quan75;25.28592052487705;34.022425075582476;25.820360682953503;34.81638364875551
quan95;32.0606012438373;39.3412546198084;31.270766808865893;51.566931539339
std;6.967564461657856;8.596588402121807;6.806556541221665;15.207349613120474
no_stationary;2.1202351345896022e-08✅;0.3593827606203377❌;3.6614603179487696e-09✅;0.9667201279928684❌
is_stationary;0.01❌;0.01❌;0.01❌;0.01❌
no_autocorrelation;10.0❌;10.0❌;10.0❌;10.0❌
is_homoscedasticity;0.0001543142033459658❌;4.804574754492111e-14❌;6.454351056205983e-05❌;1.1480961211674622e-19❌
is_mean_zero;3.895825847083001e-47❌;2.4946627939368458e-48❌;1.5194690010061937e-48❌;3.2096702173740524e-21❌
is_normality;0.1899534378769479✅;0.4552742033659549✅;0.12034381459314131✅;0.2051926155920566✅
