;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;7.636052806930559;8.108578296277118;7.908092055778691;1.6693185739505394
median;8.050233150210392;8.936251371168643;8.69290755524064;1.0272767640733393
quan75;8.690243518437246;9.375634854862444;8.834504738070942;1.5107816733257315
quan95;9.275111731711258;9.84840688282751;9.45543001950691;4.6002584421119685
std;1.8760426134299055;2.607552433866039;2.162030804509892;1.864238119659749
no_stationary;5.229133499629423e-11✅;7.94275317294902e-17✅;3.789134104819312e-18✅;0.0✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.4157161295194769✅;0.14888181108939622✅;0.3260302370276675✅;0.10219679018764163✅
is_mean_zero;3.790615055940908e-05❌;0.00017410645686321188❌;6.980748054046441e-05❌;0.973992429161858✅
is_normality;0.061383002682746754✅;0.0022852151461486775❌;0.005451099186853331❌;0.0007951919031102617❌
