;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;2.758290555381863;2.657401726443886;2.6281280180747957;1.5620378476872085
median;2.352468911425018;2.525718888125887;2.2731100221691953;1.5072847845712651
quan75;4.321754646103072;4.002926102493534;4.099603906921432;2.28336712225606
quan95;5.518906675476052;5.872717469225363;5.467087060542639;3.1105519748886166
std;1.8220027198334936;1.8108861458157222;1.8010724137030396;1.0075153237838654
no_stationary;0.001818306560714762✅;0.00724224717751713✅;0.002958292334553268✅;0.0075776743863774434✅
is_stationary;0.013570320557642887❌;0.014251658968686742❌;0.014792718762502897❌;0.03229214186479801❌
no_autocorrelation;6.0❌;6.0❌;6.0❌;0.0✅
is_homoscedasticity;0.010931253644864908❌;0.05357183060750625✅;0.022097149803566325❌;0.0249733136779491❌
is_mean_zero;2.323645590753121e-05❌;0.0009331807739130416❌;7.98228132848053e-05❌;0.4916149880564863✅
is_normality;0.2249881874550418✅;0.7707429942877749✅;0.48145389017259155✅;0.5335239390262938✅
