;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.5841467041262256;1.6785207797323127;1.5962770907367871;4.261918426735678
median;1.3912242162229762;1.5044569373434906;1.354035098372568;4.450024988122099
quan75;2.394327490316472;2.356688897344704;2.346002622319722;5.508248921480256
quan95;4.296871201086017;3.7883010730755386;4.306331335589112;7.312780226482735
std;1.2232312231880966;1.1619515200090618;1.236209120016319;2.1387263971231834
no_stationary;4.667019518210523e-12✅;5.2442842937173224e-11✅;6.7074348036777276e-12✅;1.0787592248590355e-08✅
is_stationary;0.1✅;0.08266488837165352✅;0.1✅;0.010448760424908873❌
no_autocorrelation;2.0❌;10.0❌;3.0❌;10.0❌
is_homoscedasticity;0.1968010069317606✅;0.49057041516488653✅;0.19055022032926197✅;0.0016147441991933523❌
is_mean_zero;0.0010440814251073771❌;0.013654402271835191❌;0.0003181491001489407❌;7.355839637070899e-32❌
is_normality;0.5848119103997809✅;0.8858950832041972✅;0.5753170821578669✅;0.9134805160841393✅
