;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;38.03291243015428;35.794322650266814;35.48161102882076;17.359894203483467
median;46.83620077166515;44.84971147134543;45.52751633818734;21.80280276592447
quan75;48.749352806983126;45.888522763122396;45.934407927976515;23.700367146010827
quan95;55.1434619821059;51.63735755470878;51.598841775866255;28.05586493668541
std;17.867474177314683;16.921166809219567;17.371862921334984;10.033478887871118
no_stationary;0.4112053727204921❌;0.35092008706596906❌;0.3962996163863036❌;0.7743502251169325❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.7728251901922135✅;0.7831234715257263✅;0.7796782279668368✅;0.46107473197895293✅
is_mean_zero;0.0013411538700070036❌;0.0013850535170264668❌;0.0016577971872394576❌;0.007060417667784764❌
is_normality;0.12053704174435037✅;0.07365880437526294✅;0.07648734287331765✅;0.5265080571979703✅
